"","species","scientificName","numberOfOccurrences","class","order","family","speciesKey","iucnRedListCategory"
"785","Thraupis episcopus","Thraupis episcopus (Linnaeus, 1766)",1,"Aves","Passeriformes","Thraupidae",2488602,"LC"
"786","Akodon paranaensis","Akodon paranaensis Christoff, Fagundes, Sbalqueiro, Mattevi & Yonenaga-Yassuda, 2000",26,"Mammalia","Rodentia","Cricetidae",4265088,"LC"
"787","Leptodactylus wagneri","Leptodactylus wagneri (Peters, 1862)",1,"Amphibia","Anura","Leptodactylidae",5217540,"LC"
"788","Cycloramphus juimirim","Cycloramphus juimirim Haddad & Sazima, 1989",5,"Amphibia","Anura","Cycloramphidae",2424361,"DD"
"789","Lionycteris spurrelli","Lionycteris spurrelli Thomas, 1913",2,"Mammalia","Chiroptera","Phyllostomidae",2433237,"LC"
"790","Neochen jubata","Neochen jubata (Spix, 1825)",1,"Aves","Anseriformes","Anatidae",2498320,"NT"
"791","Monodelphis brevicaudata","Monodelphis brevicaudata (Erxleben, 1777)",4,"Mammalia","Didelphimorphia","Didelphidae",2439971,"LC"
"792","Mazama bororo","Mazama bororo Duarte, 1996",8,"Mammalia","Artiodactyla","Cervidae",5706281,"VU"
"793","Stereocyclops histrio","Stereocyclops histrio (Carvalho, 1954)",2,"Amphibia","Anura","Microhylidae",9884719,"DD"
"794","Ischnocnema oea","Ischnocnema oea (Heyer, 1984)",1,"Amphibia","Anura","Brachycephalidae",2424856,"NT"
"795","Notharchus macrorhynchos","Notharchus macrorhynchos (J.F.Gmelin, 1788)",18,"Aves","Piciformes","Bucconidae",2475102,"LC"
"796","Porzana flaviventer","Porzana flaviventer (Boddaert, 1783)",2,"Aves","Gruiformes","Rallidae",2474640,"LC"
"797","Calidris minuta","Calidris minuta (Leisler, 1812)",1,"Aves","Charadriiformes","Scolopacidae",2481749,"LC"
"798","Phaethornis nattereri","Phaethornis nattereri von Berlepsch, 1887",3,"Aves","Apodiformes","Trochilidae",2476635,"LC"
"799","Dacnis lineata","Dacnis lineata (J.F.Gmelin, 1789)",1,"Aves","Passeriformes","Thraupidae",2488364,"LC"
"800","Hylodes uai","Hylodes uai Nascimento, Pombal & Haddad, 2001",5,"Amphibia","Anura","Hylodidae",5218107,"VU"
"801","Paratelmatobius gaigeae","Paratelmatobius gaigeae (Cochran, 1938)",5,"Amphibia","Anura","Leptodactylidae",2426184,"EN"
"802","Boana paranaiba","Boana paranaiba (Carvalho, Giaretta & Facure, 2010)",1,"Amphibia","Anura","Hylidae",10735450,"LC"
"803","Anisolepis longicauda","Anisolepis longicauda (Boulenger, 1891)",1,"Squamata",NA,"Leiosauridae",5226379,"VU"
"804","Brasilemys josai","Brasilemys josai Lapparent de Broin, 2000",1,"Testudines",NA,"Podocnemididae",4965057,"NE"
"805","Micronycteris brosseti","Micronycteris brosseti Simmons & Voss, 1998",1,"Mammalia","Chiroptera","Phyllostomidae",4265442,"DD"
"806","Elaenia spectabilis","Elaenia spectabilis Pelzeln, 1868",8919,"Aves","Passeriformes","Tyrannidae",5229614,"LC"
"807","Hemitriccus kaempferi","Hemitriccus kaempferi (Zimmer, 1953)",705,"Aves","Passeriformes","Tyrannidae",2482985,"VU"
"808","Tringa semipalmata","Tringa semipalmata (J.F.Gmelin, 1789)",463,"Aves","Charadriiformes","Scolopacidae",5789298,"LC"
"809","Myrmotherula urosticta","Myrmotherula urosticta (P.L.Sclater, 1857)",733,"Aves","Passeriformes","Thamnophilidae",2490186,"VU"
"810","Lathrotriccus euleri","Lathrotriccus euleri (Cabanis, 1868)",27424,"Aves","Passeriformes","Tyrannidae",2483792,"LC"
"811","Nothura maculosa","Nothura maculosa (Temminck, 1815)",5251,"Aves","Tinamiformes","Tinamidae",2477600,"LC"
"812","Platyrinchus mystaceus","Platyrinchus mystaceus Vieillot, 1818",20685,"Aves","Passeriformes","Tyrannidae",9701018,"LC"
"813","Bubulcus ibis","Bubulcus ibis (Linnaeus, 1758)",34244,"Aves","Pelecaniformes","Ardeidae",2480830,"LC"
"814","Amazona rhodocorytha","Amazona rhodocorytha (Salvadori, 1890)",2272,"Aves","Psittaciformes","Psittacidae",2479660,"VU"
"815","Amaurolimnas concolor","Amaurolimnas concolor (Gosse, 1847)",1156,"Aves","Gruiformes","Rallidae",2474448,"LC"
"816","Lepidocolaptes squamatus","Lepidocolaptes squamatus (Lichtenstein, 1822)",6480,"Aves","Passeriformes","Furnariidae",2486034,"LC"
"817","Cygnus melancoryphus","Cygnus melancoryphus (Molina, 1782)",866,"Aves","Anseriformes","Anatidae",2498335,"LC"
"818","Gallus gallus","Gallus gallus (Linnaeus, 1758)",251,"Aves","Galliformes","Phasianidae",9326020,"LC"
"819","Poecilotriccus latirostris","Poecilotriccus latirostris (Pelzeln, 1868)",1088,"Aves","Passeriformes","Tyrannidae",2483871,"LC"
"820","Bartramia longicauda","Bartramia longicauda (Bechstein, 1812)",205,"Aves","Charadriiformes","Scolopacidae",2481705,"LC"
"821","Ramphastos toco","Ramphastos toco P.L.S.Müller, 1776",38843,"Aves","Piciformes","Ramphastidae",2478765,"LC"
"822","Coccyzus melacoryphus","Coccyzus melacoryphus Vieillot, 1817",3079,"Aves","Cuculiformes","Cuculidae",2496297,"LC"
"823","Leptotila rufaxilla","Leptotila rufaxilla (Richard & Bernard, 1792)",18306,"Aves","Columbiformes","Columbidae",2496081,"LC"
"824","Leptodon cayanensis","Leptodon cayanensis (Latham, 1790)",3949,"Aves","Accipitriformes","Accipitridae",5229197,"LC"
"825","Buteo swainsoni","Buteo swainsoni Bonaparte, 1838",33,"Aves","Accipitriformes","Accipitridae",2480562,"LC"
"826","Trachycephalus venulosus","Trachycephalus venulosus (Laurenti, 1768)",43,"Amphibia","Anura","Hylidae",5217960,"NE"
"827","Physalaemus maculiventris","Physalaemus maculiventris (Lutz, 1925)",100,"Amphibia","Anura","Leptodactylidae",2423554,"LC"
"828","Callithrix penicillata","Callithrix penicillata (É.Geoffroy Saint-Hilaire, 1812)",1368,"Mammalia","Primates","Callitrichidae",5219541,"LC"
"829","Caiman latirostris","Caiman latirostris (Daudin, 1801)",906,"Crocodylia",NA,"Alligatoridae",5846511,"LC"
"830","Sotalia guianensis","Sotalia guianensis (P.-J.van Bénéden, 1864)",164,"Mammalia","Cetacea","Delphinidae",2440542,"NT"
"831","Falco deiroleucus","Falco deiroleucus Temminck, 1825",21,"Aves","Falconiformes","Falconidae",2481021,"NT"
"832","Chelonia mydas","Chelonia mydas (Linnaeus, 1758)",275,"Testudines",NA,"Cheloniidae",2442225,"EN"
"833","Georychus capensis","Georychus capensis (Pallas, 1778)",26,"Mammalia","Rodentia","Bathyergidae",5219653,"LC"
"834","Melanophryniscus peritus","Melanophryniscus peritus Caramaschi & Cruz, 2011",1,"Amphibia","Anura","Bufonidae",10700150,"CR"
"835","Leucopternis polionotus","Leucopternis polionotus (Kaup, 1847)",11,"Aves","Accipitriformes","Accipitridae",5788529,"NT"
"836","Proceratophrys bigibbosa","Proceratophrys bigibbosa (Peters, 1872)",30,"Amphibia","Anura","Odontophrynidae",2424308,"LC"
"837","Physalaemus feioi","Physalaemus feioi Cassini, Cruz & Caramaschi, 2010",20,"Amphibia","Anura","Leptodactylidae",8061712,"LC"
"838","Ischnocnema izecksohni","Ischnocnema izecksohni (Caramaschi & Kisteumacher, 1989)",15,"Amphibia","Anura","Brachycephalidae",2424829,"LC"
"839","Stereocyclops incrassatus","Stereocyclops incrassatus Cope, 1870",107,"Amphibia","Anura","Microhylidae",2421651,"LC"
"840","Sakesphorus cristatus","Sakesphorus cristatus (Wied-Neuwied, 1831)",35,"Aves","Passeriformes","Thamnophilidae",2490053,"LC"
"841","Tangara mexicana","Tangara mexicana (Linnaeus, 1766)",46,"Aves","Passeriformes","Thraupidae",2488169,"LC"
"842","Ischnocnema bolbodactyla","Ischnocnema bolbodactyla (Lutz, 1925)",19,"Amphibia","Anura","Brachycephalidae",2424836,"LC"
"843","Cyanocompsa brissonii","Cyanocompsa brissonii (M.H.K.Lichtenstein, 1823)",12,"Aves","Passeriformes","Cardinalidae",2490375,"LC"
"844","Aplastodiscus ehrhardti","Aplastodiscus ehrhardti (Müller, 1924)",32,"Amphibia","Anura","Hylidae",2427345,"LC"
"845","Ceratophrys aurita","Ceratophrys aurita (Raddi, 1823)",58,"Amphibia","Anura","Ceratophryidae",2424451,"LC"
"846","Thrichomys apereoides","Thrichomys apereoides (Lund, 1839)",13,"Mammalia","Rodentia","Echimyidae",2439813,"LC"
"847","Dipsas bucephala","Dipsas bucephala (Shaw, 1802)",18,"Squamata",NA,"Colubridae",7459375,"LC"
"848","Pseudoboa serrana","Pseudoboa serrana Morato, Moura-Leite, Prudente & Bérnils, 1995",4,"Squamata",NA,"Colubridae",5223050,"LC"
"849","Noctilio albiventris","Noctilio albiventris Desmarest, 1818",9,"Mammalia","Chiroptera","Noctilionidae",2433344,"LC"
"850","Acanthochelys spixii","Acanthochelys spixii (Duméril & Bibron, 1835)",28,"Testudines",NA,"Chelidae",9752971,"NT"
"851","Sciurus spadiceus","Sciurus spadiceus Olfers, 1818",3,"Mammalia","Rodentia","Sciuridae",5219676,"LC"
"852","Erythrolamprus taeniogaster","Erythrolamprus taeniogaster (Jan, 1863)",6,"Squamata",NA,"Colubridae",9300053,"LC"
"853","Spartonoica maluroides","Spartonoica maluroides (Orbigny & Lafresnaye, 1837)",25,"Aves","Passeriformes","Furnariidae",2485840,"LC"
"854","Corythomantis greeningi","Corythomantis greeningi Boulenger, 1896",10,"Amphibia","Anura","Hylidae",2428282,"LC"
"855","Phalotris lativittatus","Phalotris lativittatus Ferrarezzi, 1993",3,"Squamata",NA,"Colubridae",2452398,"NT"
"856","Anolis meridionalis","Anolis meridionalis Boettger, 1885",4,"Squamata",NA,"Dactyloidae",2467758,"LC"
"857","Pleurodema bibroni","Pleurodema bibroni Tschudi, 1838",3,"Amphibia","Anura","Leptodactylidae",2423478,"LC"
"858","Gastrotheca prasina","Gastrotheca prasina Teixeira, Vechio, Recoder, Carnaval, Strangas, Damasceno, Sena & Rodrigues, 2012",3,"Amphibia","Anura","Hemiphractidae",8965601,"DD"
"859","Leontopithecus caissara","Leontopithecus caissara Lorini & Persson, 1990",4,"Mammalia","Primates","Callitrichidae",2436479,"EN"
"860","Brasiliscincus caissara","Brasiliscincus caissara (Reboucas-Spieker, 1974)",16,"Squamata",NA,"Scincidae",7365121,"EN"
"861","Amphisbaena dubia","Amphisbaena dubia Müller, 1924",8,"Squamata",NA,"Amphisbaenidae",2472928,"LC"
"862","Bachia bresslaui","Bachia bresslaui (Amaral, 1935)",3,"Squamata",NA,"Gymnophthalmidae",5222329,"VU"
"863","Monodelphis umbristriata","Monodelphis umbristriata (Miranda-Ribeiro, 1936)",4,"Mammalia","Didelphimorphia","Didelphidae",2439976,"LC"
"864","Calomys laucha","Calomys laucha (Fischer, 1814)",15,"Mammalia","Rodentia","Cricetidae",9719395,"LC"
"865","Chlorospingus pileatus","Chlorospingus pileatus Salvin, 1865",1,"Aves","Passeriformes","Passerellidae",2488707,"LC"
"866","Pulsatrix melanota","Pulsatrix melanota (Tschudi, 1844)",1,"Aves","Strigiformes","Strigidae",2497886,"LC"
"867","Aplastodiscus heterophonicus","Aplastodiscus heterophonicus Pinheiro, Pezzuti, Berneck, Lyra, Lima & Leite, 2021",8,"Amphibia","Anura","Hylidae",11145648,"NE"
"868","Rhinella diptycha","Rhinella diptycha (Cope, 1862)",34,"Amphibia","Anura","Bufonidae",5216992,"DD"
"869","Psittacula eupatria","Psittacula eupatria (Linnaeus, 1766)",1,"Aves","Psittaciformes","Psittacidae",5229055,"NT"
"870","Mesoplodon layardii","Mesoplodon layardii (Gray, 1865)",1,"Mammalia","Cetacea","Hyperoodontidae",2440423,"LC"
"871","Dryadonycteris capixaba","Dryadonycteris capixaba Nogueira, Lima, Peracchi & Simmons, 2012",1,"Mammalia","Chiroptera","Phyllostomidae",7470738,"DD"
"872","Apostolepis mariae","Apostolepis mariae Borges-Nojosa, Lima, Bezerra & Harris, 2017",1,"Squamata",NA,"Colubridae",9366067,"NE"
"873","Thecadactylus rapicauda","Thecadactylus rapicauda (Houttuyn, 1782)",1,"Squamata",NA,"Phyllodactylidae",2445829,"LC"
"874","Egretta thula","Egretta thula (Molina, 1782)",48477,"Aves","Pelecaniformes","Ardeidae",2480873,"LC"
"875","Pyrrhura frontalis","Pyrrhura frontalis (Vieillot, 1818)",56053,"Aves","Psittaciformes","Psittacidae",2479840,"LC"
"876","Embernagra longicauda","Embernagra longicauda Strickland, 1844",1384,"Aves","Passeriformes","Thraupidae",2492001,"LC"
"877","Hemitriccus obsoletus","Hemitriccus obsoletus (Ribeiro, 1906)",2585,"Aves","Passeriformes","Tyrannidae",2483019,"LC"
"878","Conopias trivirgatus","Conopias trivirgatus (Wied-Neuwied, 1831)",3647,"Aves","Passeriformes","Tyrannidae",2482657,"LC"
"879","Porzana spiloptera","Porzana spiloptera Durnford, 1877",95,"Aves","Gruiformes","Rallidae",2474620,"VU"
"880","Buteo albonotatus","Buteo albonotatus Kaup, 1847",1576,"Aves","Accipitriformes","Accipitridae",2480541,"LC"
"881","Serpophaga nigricans","Serpophaga nigricans (Vieillot, 1817)",4008,"Aves","Passeriformes","Tyrannidae",2483958,"LC"
"882","Stilpnia peruviana","Stilpnia peruviana (Desmarest, 1806)",2384,"Aves","Passeriformes","Thraupidae",11029392,"NE"
"883","Euphonia chlorotica","Euphonia chlorotica (Linnaeus, 1766)",67730,"Aves","Passeriformes","Fringillidae",2487964,"LC"
"884","Campylorhamphus trochilirostris","Campylorhamphus trochilirostris (Lichtenstein, 1820)",712,"Aves","Passeriformes","Furnariidae",2485917,"LC"
"885","Crotophaga ani","Crotophaga ani Linnaeus, 1758",75192,"Aves","Cuculiformes","Cuculidae",2496209,"LC"
"886","Calliphlox amethystina","Calliphlox amethystina (Boddaert, 1783)",5496,"Aves","Apodiformes","Trochilidae",2476373,"LC"
"887","Phacellodomus erythrophthalmus","Phacellodomus erythrophthalmus (Wied-Neuwied, 1821)",7694,"Aves","Passeriformes","Furnariidae",2485120,"LC"
"888","Hemitriccus diops","Hemitriccus diops (Temminck, 1822)",8509,"Aves","Passeriformes","Tyrannidae",2482975,"LC"
"889","Nycticryphes semicollaris","Nycticryphes semicollaris (Vieillot, 1816)",177,"Aves","Charadriiformes","Rostratulidae",2482027,"LC"
"890","Harpia harpyja","Harpia harpyja (Linnaeus, 1758)",153,"Aves","Accipitriformes","Accipitridae",2480516,"VU"
"891","Setophaga striata","Setophaga striata (J.R.Forster, 1772)",39,"Aves","Passeriformes","Parulidae",6092935,"NT"
"892","Procellaria aequinoctialis","Procellaria aequinoctialis Linnaeus, 1758",106,"Aves","Procellariiformes","Procellariidae",2481495,"VU"
"893","Stercorarius chilensis","Stercorarius chilensis Bonaparte, 1857",43,"Aves","Charadriiformes","Stercorariidae",2481610,"LC"
"894","Synallaxis albilora","Synallaxis albilora Pelzeln, 1856",9,"Aves","Passeriformes","Furnariidae",2484982,"LC"
"895","Chionis albus","Chionis albus (J.F.Gmelin, 1789)",26,"Aves","Charadriiformes","Chionidae",5789302,"LC"
"896","Crossodactylus timbuhy","Crossodactylus timbuhy Pimenta, Cruz & Caramaschi, 2014",72,"Amphibia","Anura","Hylodidae",9188884,"EN"
"897","Nasua nasua","Nasua nasua (Linnaeus, 1766)",2378,"Mammalia","Carnivora","Procyonidae",2433536,"LC"
"898","Tropidurus hygomi","Tropidurus hygomi Reinhardt & Lütken, 1862",27,"Squamata",NA,"Tropiduridae",5224842,"VU"
"899","Bothrops moojeni","Bothrops moojeni Hoge, 1966",191,"Squamata",NA,"Viperidae",5220820,"LC"
"900","Phylloscartes sylviolus","Phylloscartes sylviolus (Cabanis & Heine, 1859)",82,"Aves","Passeriformes","Tyrannidae",2483204,"LC"
"901","Cycloramphus brasiliensis","Cycloramphus brasiliensis (Steindachner, 1864)",36,"Amphibia","Anura","Cycloramphidae",2424347,"EN"
"902","Dermochelys coriacea","Dermochelys coriacea (Vandelli, 1761)",43,"Testudines",NA,"Dermochelyidae",9789983,"VU"
"903","Myosorex varius","Myosorex varius (Smuts, 1832)",5,"Mammalia","Soricomorpha","Soricidae",2435929,"LC"
"904","Xenodon neuwiedii","Xenodon neuwiedii Günther, 1863",521,"Squamata",NA,"Colubridae",5959593,"LC"
"905","Ramphastos ariel","Ramphastos ariel Vigors, 1826",5,"Aves","Piciformes","Ramphastidae",7641288,"NT"
"906","Columbina inca","Columbina inca (R.Lesson, 1847)",1,"Aves","Columbiformes","Columbidae",2495863,"LC"
"907","Dipsas indica","Dipsas indica Laurenti, 1768",38,"Squamata",NA,"Colubridae",5223420,"LC"
"908","Chironius fuscus","Chironius fuscus (Linnaeus, 1758)",149,"Squamata",NA,"Colubridae",2457289,"LC"
"909","Phyllomys dasythrix","Phyllomys dasythrix Hensel, 1872",1,"Mammalia","Rodentia","Echimyidae",4262932,"LC"
"910","Nyctiprogne leucopyga","Nyctiprogne leucopyga (von Spix, 1825)",6,"Aves","Caprimulgiformes","Caprimulgidae",2496817,"LC"
"911","Physalaemus carrizorum","Physalaemus carrizorum Cardozo & Pereyra, 2018",11,"Amphibia","Anura","Leptodactylidae",9697648,"LC"
"912","Adenomera thomei","Adenomera thomei (Almeida & Angulo, 2006)",24,"Amphibia","Anura","Leptodactylidae",10447476,"LC"
"913","Myrmecophaga tridactyla","Myrmecophaga tridactyla Linnaeus, 1758",539,"Mammalia","Pilosa","Myrmecophagidae",2436346,"VU"
"914","Adenomera ajurauna","Adenomera ajurauna (Berneck, Costa & Garcia, 2008)",6,"Amphibia","Anura","Leptodactylidae",10202655,"LC"
"915","Scythrophrys sawayae","Scythrophrys sawayae (Cochran, 1953)",28,"Amphibia","Anura","Leptodactylidae",2426195,"LC"
"916","Phyllodytes luteolus","Phyllodytes luteolus (Wied-Neuwied, 1821)",236,"Amphibia","Anura","Hylidae",5217972,"LC"
"917","Physalaemus spiniger","Physalaemus spiniger (Miranda-Ribeiro, 1926)",45,"Amphibia","Anura","Leptodactylidae",2423559,"LC"
"918","Eurolophosaurus nanuzae","Eurolophosaurus nanuzae (Rodrigues, 1981)",59,"Squamata",NA,"Tropiduridae",2460090,"LC"
"919","Dendropsophus tapacurensis","Dendropsophus tapacurensis Oliveira, Magalhães, Teixeira, Moura, Porto, Guimarães, Giaretta & Tinôco, 2021",3,"Amphibia","Anura","Hylidae",12240596,"DD"
"920","Pluvialis squatarola","Pluvialis squatarola (Linnaeus, 1758)",64,"Aves","Charadriiformes","Charadriidae",2480327,"VU"
"921","Bokermannohyla itapoty","Bokermannohyla itapoty Lugli & Haddad, 2006",1,"Amphibia","Anura","Hylidae",2428065,"LC"
"922","Histiotus velatus","Histiotus velatus (I.Geoffroy, 1824)",102,"Mammalia","Chiroptera","Vespertilionidae",2432301,"DD"
"923","Siphlophis pulcher","Siphlophis pulcher (Raddi, 1820)",21,"Squamata",NA,"Colubridae",5959402,"LC"
"924","Leptodeira annulata","Leptodeira annulata (Linnaeus, 1758)",42,"Squamata",NA,"Colubridae",2454954,"LC"
"925","Anolis ortonii","Anolis ortonii Cope, 1868",36,"Squamata",NA,"Dactyloidae",2467651,"LC"
"926","Pseudoboa haasi","Pseudoboa haasi (Boettger, 1905)",51,"Squamata",NA,"Colubridae",5223055,"LC"
"927","Phyllostomus hastatus","Phyllostomus hastatus (Pallas, 1767)",92,"Mammalia","Chiroptera","Phyllostomidae",2433279,"LC"
"928","Tropidurus imbituba","Tropidurus imbituba Kunz & Borges-Martins, 2013",24,"Squamata",NA,"Tropiduridae",8475590,"CR"
"929","Oryctolagus cuniculus","Oryctolagus cuniculus (Linnaeus, 1758)",8,"Mammalia","Lagomorpha","Leporidae",2436940,"EN"
"930","Elachistocleis erythrogaster","Elachistocleis erythrogaster Kwet & Di-Bernardo, 1998",13,"Amphibia","Anura","Microhylidae",2421947,"EN"
"931","Pecari pecari","Pecari pecari Reichenbach, 1835",2,"Mammalia","Artiodactyla","Tayassuidae",12199252,"NE"
"932","Akodon serrensis","Akodon serrensis Thomas, 1902",9,"Mammalia","Rodentia","Cricetidae",2437917,"LC"
"933","Phalotris reticulatus","Phalotris reticulatus (Peters, 1860)",4,"Squamata",NA,"Colubridae",9317913,"LC"
"934","Atractus maculatus","Atractus maculatus (Günther, 1858)",7,"Squamata",NA,"Colubridae",5223934,"LC"
"935","Anser cygnoides","Anser cygnoides (Linnaeus, 1758)",4,"Aves","Anseriformes","Anatidae",2498034,"EN"
"936","Coendou longicaudatus","Coendou longicaudatus Daudin, 1802",5,"Mammalia","Rodentia","Erethizontidae",12262017,"NE"
"937","Xenopholis undulatus","Xenopholis undulatus (Jensen, 1900)",8,"Squamata",NA,"Colubridae",5223754,"LC"
"938","Ololygon littoreus","Ololygon littoreus Peixoto, 1988",3,"Amphibia","Anura","Hylidae",10875222,"EN"
"939","Acratosaura spinosa","Acratosaura spinosa Rodrigues, Cassimiro, De Freitas & Santos Silva, 2009",3,"Squamata",NA,"Gymnophthalmidae",7784048,"DD"
"940","Tropidophis grapiuna","Tropidophis grapiuna Curcio, Sales-Nunes, Suzart Argolo, Skuk & Rodrigues, 2012",1,"Squamata",NA,"Tropidophiidae",7488321,"VU"
"941","Leptodactylus payaya","Leptodactylus payaya Magalhães, Lyra, Carvalho, Baldo, Brusquetti, Burela, Colli, Gehara, Giaretta, Haddad, Langone, López, Napoli, Santana, de Sá & Garda, 2020",33,"Amphibia","Anura","Leptodactylidae",12224050,"LC"
"942","Anthracothorax viridigula","Anthracothorax viridigula (Boddaert, 1783)",1,"Aves","Apodiformes","Trochilidae",2476719,"LC"
"943","Leopardus guigna","Leopardus guigna (Molina, 1782)",3,"Mammalia","Carnivora","Felidae",2434923,"VU"
"944","Sphiggurus villosus","Sphiggurus villosus (F.Cuvier, 1823)",14,"Mammalia","Rodentia","Erethizontidae",2437604,"LC"
"945","Netta rufina","Netta rufina (Pallas, 1773)",2,"Aves","Anseriformes","Anatidae",2498180,"LC"
"946","Syndactyla dimidiata","Syndactyla dimidiata (Pelzeln, 1859)",4,"Aves","Passeriformes","Furnariidae",2485357,"LC"
"947","Agapornis personatus","Agapornis personatus Reichenow, 1887",3,"Aves","Psittaciformes","Psittacidae",2479553,"LC"
"948","Pseudis fusca","Pseudis fusca Garman, 1883",9,"Amphibia","Anura","Hylidae",2428375,"LC"
"949","Sarkidiornis melanotos","Sarkidiornis melanotos (Pennant, 1769)",4,"Aves","Anseriformes","Anatidae",2498001,"LC"
"950","Dipsas catesbyi","Dipsas catesbyi (Sentzen, 1796)",1,"Squamata",NA,"Colubridae",5223468,"LC"
"951","Epictia munoai","Epictia munoai (Orejas-Miranda, 1961)",21,"Squamata",NA,"Leptotyphlopidae",8306698,"LC"
"952","Rusa unicolor","Rusa unicolor (Kerr, 1792)",2,"Mammalia","Artiodactyla","Cervidae",7261386,"VU"
"953","Pseudopaludicola boliviana","Pseudopaludicola boliviana Parker, 1927",5,"Amphibia","Anura","Leptodactylidae",2423517,"LC"
"954","Peiropemys mezzalirai","Peiropemys mezzalirai Gaffney et al., 2011",1,"Testudines",NA,"Podocnemididae",8650436,"NE"
"955","Derorhynchus singularis","Derorhynchus singularis Paula Couto, 1952",1,"Mammalia","Didelphimorphia","Didelphidae",8513397,"NE"
"956","Molossops neglectus","Molossops neglectus Williams & Genoways, 1980",6,"Mammalia","Chiroptera","Molossidae",2433004,"DD"
"957","Oecomys trinitatis","Oecomys trinitatis (J.A.Allen & Chapman, 1893)",8,"Mammalia","Rodentia","Cricetidae",2439310,"LC"
"958","Progne dominicensis","Progne dominicensis (Gmelin, 1789)",1,"Aves","Passeriformes","Hirundinidae",2489135,"LC"
"959","Rhogeessa io","Rhogeessa io Thomas, 1903",1,"Mammalia","Chiroptera","Vespertilionidae",4266463,"LC"
"960","Calyptommatus confusionibus","Calyptommatus confusionibus Rodrigues, Zaher & Curcio, 2001",1,"Squamata",NA,"Gymnophthalmidae",2450396,"LC"
"961","Psophia viridis","Psophia viridis Spix, 1825",1,"Aves","Gruiformes","Psophiidae",2474356,"VU"
"962","Australonyx aquae","Australonyx aquae De Iuliis et al., 2009",1,"Mammalia","Pilosa","Megalonychidae",8451091,"NE"
"963","Amaurospiza moesta","Amaurospiza moesta (Hartlaub, 1853)",2781,"Aves","Passeriformes","Cardinalidae",2491738,"LC"
"964","Monasa nigrifrons","Monasa nigrifrons (von Spix, 1824)",701,"Aves","Piciformes","Bucconidae",2475187,"LC"
"965","Heliomaster furcifer","Heliomaster furcifer (Shaw, 1812)",707,"Aves","Apodiformes","Trochilidae",2476998,"LC"
"966","Xiphocolaptes falcirostris","Xiphocolaptes falcirostris (Spix, 1824)",271,"Aves","Passeriformes","Furnariidae",2485458,"VU"
"967","Cyclarhis gujanensis","Cyclarhis gujanensis (Gmelin, 1789)",102384,"Aves","Passeriformes","Vireonidae",2487404,"LC"
"968","Euscarthmus meloryphus","Euscarthmus meloryphus Wied-Neuwied, 1831",2815,"Aves","Passeriformes","Tyrannidae",2483318,"LC"
"969","Galbula ruficauda","Galbula ruficauda Cuvier, 1816",14574,"Aves","Piciformes","Galbulidae",5228236,"LC"
"970","Glaucidium minutissimum","Glaucidium minutissimum (zu Wied-Neuwied, 1830)",3453,"Aves","Strigiformes","Strigidae",5232131,"LC"
"971","Netta peposaca","Netta peposaca (Vieillot, 1816)",1070,"Aves","Anseriformes","Anatidae",2498181,"LC"
"972","Calidris melanotos","Calidris melanotos (Vieillot, 1819)",1509,"Aves","Charadriiformes","Scolopacidae",2481744,"LC"
"973","Iodopleura pipra","Iodopleura pipra (Lesson, 1831)",1959,"Aves","Passeriformes","Cotingidae",2486514,"EN"
"974","Busarellus nigricollis","Busarellus nigricollis (Latham, 1790)",1053,"Aves","Accipitriformes","Accipitridae",2480692,"LC"
"975","Dendrocolaptes platyrostris","Dendrocolaptes platyrostris Spix, 1824",15299,"Aves","Passeriformes","Furnariidae",2485785,"LC"
"976","Pyroderus scutatus","Pyroderus scutatus (Shaw, 1792)",9013,"Aves","Passeriformes","Cotingidae",2486243,"LC"
"977","Picumnus exilis","Picumnus exilis (M.H.K.Lichtenstein, 1823)",2201,"Aves","Piciformes","Picidae",5228733,"LC"
"978","Tachycineta leucopyga","Tachycineta leucopyga (Meyen, 1834)",529,"Aves","Passeriformes","Hirundinidae",5789239,"LC"
"979","Hylophilus pectoralis","Hylophilus pectoralis P.L.Sclater, 1866",480,"Aves","Passeriformes","Vireonidae",5230508,"LC"
"980","Uropelia campestris","Uropelia campestris (von Spix, 1825)",9,"Aves","Columbiformes","Columbidae",2495380,"LC"
"981","Dendropsophus anceps","Dendropsophus anceps (Lutz, 1929)",78,"Amphibia","Anura","Hylidae",2428545,"LC"
"982","Pecari tajacu","Pecari tajacu (Linnaeus, 1758)",186,"Mammalia","Artiodactyla","Tayassuidae",2440995,"LC"
"983","Ololygon argyreornata","Ololygon argyreornata (Miranda-Ribeiro, 1926)",133,"Amphibia","Anura","Hylidae",10675684,"LC"
"984","Crotalus durissus","Crotalus durissus Linnaeus, 1758",569,"Squamata",NA,"Viperidae",2444433,"LC"
"985","Aratinga leucophthalma","Aratinga leucophthalma (Statius Muller, 1776)",12,"Aves","Psittaciformes","Psittacidae",2479115,"LC"
"986","Dendropsophus soaresi","Dendropsophus soaresi (Caramaschi & Jim, 1983)",5,"Amphibia","Anura","Hylidae",2428573,"LC"
"987","Echinanthera cephalostriata","Echinanthera cephalostriata Di Bernardo, 1996",59,"Squamata",NA,"Colubridae",2458771,"LC"
"988","Sapajus robustus","Sapajus robustus (Kuhl, 1820)",90,"Mammalia","Primates","Cebidae",8227596,"EN"
