"","species","scientificName","numberOfOccurrences","class","order","family","speciesKey","iucnRedListCategory"
"2744","Amphisbaena mertensii","Amphisbaena mertensii Strauch, 1881",84,"Squamata",NA,"Amphisbaenidae",2472962,"LC"
"2745","Adenomera marmorata","Adenomera marmorata Steindachner, 1867",548,"Amphibia","Anura","Leptodactylidae",2426122,"LC"
"2746","Troglodytes musculus","Troglodytes musculus J.F.Naumann, 1823",2085,"Aves","Passeriformes","Troglodytidae",8346347,"NE"
"2747","Calidris subruficollis","Calidris subruficollis (Vieillot, 1819)",25,"Aves","Charadriiformes","Scolopacidae",8292425,"VU"
"2748","Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris (Linnaeus, 1766)",4818,"Mammalia","Rodentia","Caviidae",5786666,"LC"
"2749","Amazona dufresniana","Amazona dufresniana (Shaw, 1812)",2,"Aves","Psittaciformes","Psittacidae",2479635,"NT"
"2750","Microtus oeconomus","Microtus oeconomus (Pallas, 1776)",1,"Mammalia","Rodentia","Cricetidae",2438635,"LC"
"2751","Bandicota bengalensis","Bandicota bengalensis (Gray, 1835)",1,"Mammalia","Rodentia","Muridae",2437727,"LC"
"2752","Peromyscus boylii","Peromyscus boylii (Baird, 1855)",1,"Mammalia","Rodentia","Cricetidae",2438038,"LC"
"2753","Leucopternis lacernulatus","Leucopternis lacernulatus (Temminck, 1827)",19,"Aves","Accipitriformes","Accipitridae",5788530,"VU"
"2754","Myotis nigricans","Myotis nigricans (Schinz, 1821)",297,"Mammalia","Chiroptera","Vespertilionidae",2432448,"LC"
"2755","Ischnocnema lactea","Ischnocnema lactea (Miranda-Ribeiro, 1923)",13,"Amphibia","Anura","Brachycephalidae",2424851,"LC"
"2756","Oxymycterus quaestor","Oxymycterus quaestor Thomas, 1903",33,"Mammalia","Rodentia","Cricetidae",4265191,"LC"
"2757","Rhinella acutirostris","Rhinella acutirostris (Spix, 1824)",6,"Amphibia","Anura","Bufonidae",5216950,"LC"
"2758","Melanophryniscus dorsalis","Melanophryniscus dorsalis (Mertens, 1933)",20,"Amphibia","Anura","Bufonidae",2422143,"LC"
"2759","Julianus uruguayus","Julianus uruguayus (Schmidt, 1944)",18,"Amphibia","Anura","Hylidae",10723098,"LC"
"2760","Leptodactylus viridis","Leptodactylus viridis Jim & Spirandeli Cruz, 1973",7,"Amphibia","Anura","Leptodactylidae",5217537,"LC"
"2761","Pristimantis relictus","Pristimantis relictus Roberto, Loebmann, Lyra & Ávila, 2022",57,"Amphibia","Anura","Craugastoridae",11748734,"NE"
"2762","Notiochelidon cyanoleuca","Notiochelidon cyanoleuca (Vieillot, 1817)",5,"Aves","Passeriformes","Hirundinidae",2489208,"NE"
"2763","Bothrops leucurus","Bothrops leucurus Wagler, 1824",132,"Squamata",NA,"Viperidae",5220818,"LC"
"2764","Phyllodytes kautskyi","Phyllodytes kautskyi Peixoto & Cruz, 1988",7,"Amphibia","Anura","Hylidae",5217977,"LC"
"2765","Liolaemus occipitalis","Liolaemus occipitalis Boulenger, 1885",60,"Squamata",NA,"Liolaemidae",2460401,"VU"
"2766","Dipsas variegata","Dipsas variegata (Duméril, Bibron & Duméril, 1854)",10,"Squamata",NA,"Colubridae",5223415,"LC"
"2767","Lygophis paucidens","Lygophis paucidens Hoge, 1953",2,"Squamata",NA,"Colubridae",2454283,"LC"
"2768","Wiedomys pyrrhorhinos","Wiedomys pyrrhorhinos (Wied-Neuwied, 1821)",3,"Mammalia","Rodentia","Cricetidae",2438198,"LC"
"2769","Cynomops abrasus","Cynomops abrasus (Temminck, 1827)",16,"Mammalia","Chiroptera","Molossidae",7261913,"DD"
"2770","Boana punctata","Boana punctata (Schneider, 1799)",7,"Amphibia","Anura","Hylidae",10132344,"LC"
"2771","Hoplocercus spinosus","Hoplocercus spinosus Fitzinger, 1843",4,"Squamata",NA,"Hoplocercidae",2471891,"LC"
"2772","Formicivora paludicola","Formicivora paludicola Buzzetti et al., 2013",2,"Aves","Passeriformes","Thamnophilidae",9151889,"CR"
"2773","Thamnodynastes chaquensis","Thamnodynastes chaquensis Bergna & Alvarez, 1993",1,"Squamata",NA,"Colubridae",2454774,"LC"
"2774","Sphaenorhynchus mirim","Sphaenorhynchus mirim Caramaschi, Almeida & Gasparini, 2009",5,"Amphibia","Anura","Hylidae",8522520,"LC"
"2775","Ololygon caissara","Ololygon caissara (Lourenço, Zina, Catroli, Kasahara, Faivovich & Haddad, 2016)",1,"Amphibia","Anura","Hylidae",10819460,"LC"
"2776","Brachycephalus guarani","Brachycephalus guarani Clemente-Carvalho, Giaretta, Condez, Haddad & Reis, 2012",2,"Amphibia","Anura","Brachycephalidae",10803264,"LC"
"2777","Basiliscus vittatus","Basiliscus vittatus Wiegmann, 1828",5,"Squamata",NA,"Corytophanidae",5221821,"LC"
"2778","Leptodactylus cupreus","Leptodactylus cupreus Caramaschi, Feio & São Pedro, 2008",1,"Amphibia","Anura","Leptodactylidae",5217539,"DD"
"2779","Lobodon carcinophaga","Lobodon carcinophaga (Hombron & Jacquinot, 1842)",2,"Mammalia","Carnivora","Phocidae",2434762,"LC"
"2780","Colonia colonus","Colonia colonus (Vieillot, 1818)",25316,"Aves","Passeriformes","Tyrannidae",5229809,"LC"
"2781","Chiasmocleis leucosticta","Chiasmocleis leucosticta (Boulenger, 1888)",24,"Amphibia","Anura","Microhylidae",2421918,"LC"
"2782","Eupetomena cirrochloris","Eupetomena cirrochloris (Vieillot, 1818)",458,"Aves","Apodiformes","Trochilidae",10983172,"LC"
"2783","Calidris himantopus","Calidris himantopus (Bonaparte, 1826)",20,"Aves","Charadriiformes","Scolopacidae",5229400,"NT"
"2784","Anabazenops fuscus","Anabazenops fuscus (Vieillot, 1816)",8371,"Aves","Passeriformes","Furnariidae",2485495,"LC"
"2785","Pipra pipra","Pipra pipra (Linnaeus, 1758)",28,"Aves","Passeriformes","Pipridae",2487639,"LC"
"2786","Cypseloides senex","Cypseloides senex (Temminck, 1826)",7199,"Aves","Apodiformes","Apodidae",2477288,"LC"
"2787","Amphisbaena prunicolor","Amphisbaena prunicolor (Cope, 1885)",56,"Squamata",NA,"Amphisbaenidae",2472912,"LC"
"2788","Geothlypis aequinoctialis","Geothlypis aequinoctialis (J.F.Gmelin, 1789)",178,"Aves","Passeriformes","Parulidae",2489649,"LC"
"2789","Habia rubica","Habia rubica (Vieillot, 1817)",21701,"Aves","Passeriformes","Cardinalidae",5230705,"LC"
"2790","Ischnocnema guentheri","Ischnocnema guentheri (Steindachner, 1864)",438,"Amphibia","Anura","Brachycephalidae",2424846,"NT"
"2791","Tyto furcata","Tyto furcata (Temminck, 1827)",172,"Aves","Strigiformes","Tytonidae",9568884,"NE"
"2792","Aramides mangle","Aramides mangle (Spix, 1825)",487,"Aves","Gruiformes","Rallidae",2474670,"LC"
"2793","Pachyramphus rufus","Pachyramphus rufus (Boddaert, 1783)",16,"Aves","Passeriformes","Cotingidae",5230318,"LC"
"2794","Psychosaura macrorhyncha","Psychosaura macrorhyncha (Hoge, 1946)",68,"Squamata",NA,"Scincidae",7531921,"LC"
"2795","Metachirus nudicaudatus","Metachirus nudicaudatus (É.Geoffroy Saint-Hilaire, 1803)",38,"Mammalia","Didelphimorphia","Didelphidae",9686324,"LC"
"2796","Falco peregrinus","Falco peregrinus Tunstall, 1771",2882,"Aves","Falconiformes","Falconidae",2481047,"LC"
"2797","Laterallus melanophaius","Laterallus melanophaius (Vieillot, 1819)",12038,"Aves","Gruiformes","Rallidae",2474585,"LC"
"2798","Neopelma chrysocephalum","Neopelma chrysocephalum (Pelzeln, 1868)",2,"Aves","Passeriformes","Pipridae",5230515,"LC"
"2799","Amazona pretrei","Amazona pretrei (Temminck, 1830)",1058,"Aves","Psittaciformes","Psittacidae",2479639,"VU"
"2800","Tyrannus albogularis","Tyrannus albogularis Burmeister, 1856",2006,"Aves","Passeriformes","Tyrannidae",9394888,"LC"
"2801","Sternula antillarum","Sternula antillarum R.Lesson, 1847",131,"Aves","Charadriiformes","Laridae",5789285,"LC"
"2802","Anthus furcatus","Anthus furcatus Orbigny & Lafresnaye, 1837",182,"Aves","Passeriformes","Motacillidae",2490278,"LC"
"2803","Leptodactylus latrans","Leptodactylus latrans (Steffen, 1815)",840,"Amphibia","Anura","Leptodactylidae",8268125,"LC"
"2804","Dendrophryniscus brevipollicatus","Dendrophryniscus brevipollicatus Jiménez de la Espada, 1870",149,"Amphibia","Anura","Bufonidae",2422262,"LC"
"2805","Ciconia maguari","Ciconia maguari (Gmelin, 1789)",4112,"Aves","Ciconiiformes","Ciconiidae",2481910,"LC"
"2806","Columba livia","Columba livia J.F.Gmelin, 1789",88499,"Aves","Columbiformes","Columbidae",2495414,"LC"
"2807","Stelgidopteryx ruficollis","Stelgidopteryx ruficollis (Vieillot, 1817)",47843,"Aves","Passeriformes","Hirundinidae",2489203,"LC"
"2808","Sporophila plumbea","Sporophila plumbea (Wied-Neuwied, 1830)",777,"Aves","Passeriformes","Thraupidae",2491380,"LC"
"2809","Euphonia musica","Euphonia musica (J.F.Gmelin, 1789)",39,"Aves","Passeriformes","Fringillidae",2487981,"LC"
"2810","Proceratophrys appendiculata","Proceratophrys appendiculata (Günther, 1873)",73,"Amphibia","Anura","Odontophrynidae",2424328,"LC"
"2811","Emberizoides ypiranganus","Emberizoides ypiranganus H.Ihering & R.Ihering, 1907",1678,"Aves","Passeriformes","Thraupidae",5231170,"LC"
"2812","Cryptonanus chacoensis","Cryptonanus chacoensis (Tate, 1931)",14,"Mammalia","Didelphimorphia","Didelphidae",5786537,"LC"
"2813","Philander frenatus","Philander frenatus (Olfers, 1818)",29,"Mammalia","Didelphimorphia","Didelphidae",5219949,"LC"
"2814","Myiopagis caniceps","Myiopagis caniceps (Swainson, 1835)",10770,"Aves","Passeriformes","Tyrannidae",2482960,"LC"
"2815","Cynomops planirostris","Cynomops planirostris (Peters, 1866)",12,"Mammalia","Chiroptera","Molossidae",4266507,"LC"
"2816","Saltator maximus","Saltator maximus (P.L.S.Müller, 1776)",6776,"Aves","Passeriformes","Thraupidae",5230942,"LC"
"2817","Simophis rhinostoma","Simophis rhinostoma (Schlegel, 1837)",49,"Squamata",NA,"Colubridae",2454806,"LC"
"2818","Icterus cayanensis","Icterus cayanensis (Linnaeus, 1766)",27,"Aves","Passeriformes","Icteridae",5229845,"LC"
"2819","Myiozetetes cayanensis","Myiozetetes cayanensis (Linnaeus, 1766)",3188,"Aves","Passeriformes","Tyrannidae",2482921,"LC"
"2820","Spatula platalea","Spatula platalea (Vieillot, 1816)",255,"Aves","Anseriformes","Anatidae",9290528,"LC"
"2821","Discosura langsdorffi","Discosura langsdorffi (Temminck, 1821)",37,"Aves","Apodiformes","Trochilidae",2476907,"LC"
"2822","Sporophila crassirostris","Sporophila crassirostris (J.F.Gmelin, 1789)",2,"Aves","Passeriformes","Thraupidae",8362699,"LC"
"2823","Arcovomer passarellii","Arcovomer passarellii Carvalho, 1954",48,"Amphibia","Anura","Microhylidae",2421686,"LC"
"2824","Sakesphorus canadensis","Sakesphorus canadensis (Linnaeus, 1766)",1,"Aves","Passeriformes","Thamnophilidae",2490049,"LC"
"2825","Eudyptes chrysocome","Eudyptes chrysocome (J.R.Forster, 1781)",1,"Aves","Sphenisciformes","Spheniscidae",2481635,"VU"
"2826","Ptychophis flavovirgatus","Ptychophis flavovirgatus Gomes, 1915",7,"Squamata",NA,"Colubridae",2452714,"LC"
"2827","Chiasmocleis schubarti","Chiasmocleis schubarti Bokermann, 1952",82,"Amphibia","Anura","Microhylidae",2421925,"LC"
"2828","Boana lundii","Boana lundii (Burmeister, 1856)",35,"Amphibia","Anura","Hylidae",5218010,"LC"
"2829","Cotinga cayana","Cotinga cayana (Linnaeus, 1766)",1,"Aves","Passeriformes","Cotingidae",5230383,"LC"
"2830","Equus asinus","Equus asinus Linnaeus, 1758",9,"Mammalia","Perissodactyla","Equidae",2440891,"NE"
"2831","Odontophrynus maisuma","Odontophrynus maisuma Rosset, 2008",27,"Amphibia","Anura","Odontophrynidae",2424393,"LC"
"2832","Dendropsophus nahdereri","Dendropsophus nahdereri (Lutz & Bokermann, 1963)",5,"Amphibia","Anura","Hylidae",2428485,"LC"
"2833","Castoria angustidens","Castoria angustidens (Winge, 1887)",2,"Mammalia","Rodentia","Cricetidae",11743667,"NE"
"2834","Histiotus montanus","Histiotus montanus (Philippi & Landbeck, 1861)",7,"Mammalia","Chiroptera","Vespertilionidae",2432299,"LC"
"2835","Bokermannohyla vulcaniae","Bokermannohyla vulcaniae (Vasconcelos & Giaretta, 2005)",6,"Amphibia","Anura","Hylidae",2428046,"EN"
"2836","Physalaemus soaresi","Physalaemus soaresi Izecksohn, 1965",17,"Amphibia","Anura","Leptodactylidae",2423563,"CR"
"2837","Lygophis lineatus","Lygophis lineatus (Linnaeus, 1758)",2,"Squamata",NA,"Colubridae",9746182,"LC"
"2838","Cratia gracilis","Cratia gracilis Baez et al., 2009",1,"Amphibia","Anura",NA,8555317,"NE"
"2839","Cycloramphus carvalhoi","Cycloramphus carvalhoi Heyer, 1983",1,"Amphibia","Anura","Cycloramphidae",2424336,"DD"
"2840","Paleopsilopterus itaboraiensis","Paleopsilopterus itaboraiensis Alvarenga, 1985",1,"Aves","Gruiformes","Psilopteridae",8445507,"NE"
"2841","Rhabdomys pumilio","Rhabdomys pumilio (Sparrman, 1784)",1,"Mammalia","Rodentia","Muridae",2438736,"LC"
