"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Celeus ochraceus","Celeus ochraceus",NA,"Aves","Piciformes","Picidae","faunabr",NA
"Celeus torquatus","Celeus torquatus","Picus torquatus","Aves","Piciformes","Picidae","faunabr",NA
"Celeus undatus","Celeus undatus","Picus undatus","Aves","Piciformes","Picidae","faunabr",NA
"Ceratopipra rubrocapilla","Pipra rubrocapilla",NA,"Aves","Passeriformes","Pipridae","faunabr",NA
"Cercomacra brasiliana","Cercomacra brasiliana",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Cercomacra cinerascens","Cercomacra cinerascens","Formicivora cinerascens","Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Cercomacra ferdinandi","Cercomacra ferdinandi",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Cercomacra melanaria","Cercomacra melanaria",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Cercomacroides laeta","Cercomacra laeta",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Cerradomys akroai","Cerradomys akroai",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Cerradomys goytaca","Cerradomys goytaca",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Cerradomys langguthi","Cerradomys langguthi",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Cerradomys maracajuensis","Cerradomys maracajuensis","Oryzomys maracajuensis","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Cerradomys marinhus","Cerradomys marinhus","Oryzomys marinhus","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Cerradomys scotti","Cerradomys scotti","Oryzomys scotti","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Cerradomys subflavus","Cerradomys subflavus","Hesperomys subflavus","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Cerradomys vivoi","Cerradomys vivoi",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Certhiasomus stictolaemus","Deconychura stictolaema","Sittasomus stictolaemus","Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Chaetomys subspinosus","Chaetomys subspinosus",NA,"Mammalia","Rodentia","Erethizontidae","faunabr",NA
"Chaetura brachyura","Chaetura brachyura","Acanthylis brachyura","Aves","Apodiformes","Apodidae","faunabr",NA
"Chaetura chapmani","Chaetura chapmani",NA,"Aves","Apodiformes","Apodidae","faunabr",NA
"Charadrius falklandicus","Charadrius falklandicus",NA,"Aves","Charadriiformes","Charadriidae","faunabr",NA
"Charadrius wilsonia","Charadrius wilsonia",NA,"Aves","Charadriiformes","Charadriidae","faunabr",NA
"Charitospiza eucosma","Charitospiza eucosma",NA,"Aves","Passeriformes","Thraupidae","faunabr",NA
"Chelus fimbriatus","Chelus fimbriata","Testudo fimbriata","Reptilia","Testudines","Chelidae","faunabr","Chelus matamata;Chelus boulengerii;Chelus terrestris"
"Chionomesa fimbriata","Chionomesa fimbriata","Trochilus fimbriatus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Chionomesa lactea","Chionomesa lactea","Ornismya lactea","Aves","Apodiformes","Trochilidae","faunabr",NA
"Chiropotes satanas","Chiropotes satanas",NA,"Mammalia","Primates","Pitheciidae","faunabr",NA
"Chiroxiphia pareola","Chiroxiphia pareola","Pipra pareola","Aves","Passeriformes","Pipridae","faunabr",NA
"Chlidonias niger","Chlidonias niger","Sterna niger","Aves","Charadriiformes","Sternidae","faunabr",NA
"Chloephaga picta","Chloephaga picta","Anas picta","Aves","Anseriformes","Anatidae","faunabr",NA
"Chlorestes cyanus","Chlorestes cyanus","Trochilus cyanus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Chlorestes notata","Chlorestes notata","Trochilus notatus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Chlorostilbon mellisugus","Chlorostilbon mellisugus","Trochilus mellisugus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Choeroniscus minor","Choeroniscus minor","Choeronycteris minor","Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Choloepus didactylus","Choloepus didactylus","Bradypus didactylus","Mammalia","Pilosa","Megalonychidae","faunabr",NA
"Chrysomus icterocephalus","Chrysomus icterocephalus","Oriolus ictero-cephalus","Aves","Passeriformes","Icteridae","faunabr",NA
"Chrysuronia leucogaster","Chrysuronia leucogaster","Trochilus leucogaster","Aves","Apodiformes","Trochilidae","faunabr",NA
"Cichlocolaptes mazarbarnetti","Cichlocolaptes mazarbarnetti",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Cichlopsis leucogenys","Cichlopsis leucogenys",NA,"Aves","Passeriformes","Turdidae","faunabr",NA
"Cinclodes fuscus","Cinclodes fuscus",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Cinclodes pabsti","Cinclodes pabsti",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Clibanornis rectirostris","Hylocryptus rectirostris",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Clyomys laticeps","Clyomys laticeps",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Coccycua minuta","Piaya minuta","Coccyzus minutus","Aves","Cuculiformes","Cuculidae","faunabr",NA
"Coccyzus erythropthalmus","Coccyzus erythropthalmus","Cuculus erythropthalmus","Aves","Cuculiformes","Cuculidae","faunabr",NA
"Coccyzus minor","Coccyzus minor","Cuculus minor","Aves","Cuculiformes","Cuculidae","faunabr",NA
"Coendou baturitensis","Coendou baturitensis",NA,"Mammalia","Rodentia","Erethizontidae","faunabr",NA
"Coendou insidiosus","Sphiggurus insidiosus",NA,"Mammalia","Rodentia","Erethizontidae","faunabr",NA
"Coendou longicaudatus","Coendou longicaudatus",NA,"Mammalia","Rodentia","Erethizontidae","faunabr",NA
"Coendou prehensilis","Coendou prehensilis","Hystrix prehensilis","Mammalia","Rodentia","Erethizontidae","faunabr",NA
"Coendou speratus","Coendou speratus",NA,"Mammalia","Rodentia","Erethizontidae","faunabr",NA
"Colibri delphinae","Colibri delphinae","Ornismya delphinae","Aves","Apodiformes","Trochilidae","faunabr",NA
"Columbina cyanopis","Columbina cyanopis",NA,"Aves","Columbiformes","Columbidae","faunabr",NA
"Compsothraupis loricata","Compsothraupis loricata","Tanagra loricata","Aves","Passeriformes","Thraupidae","faunabr",NA
"Conopophaga cearae","Conopophaga cearae",NA,"Aves","Passeriformes","Conopophagidae","faunabr",NA
"Conopophaga roberti","Conopophaga roberti",NA,"Aves","Passeriformes","Conopophagidae","faunabr",NA
