"","species","subspecies","scientificName","acceptedName","kingdom","phylum","class","order","family","genus","lifeForm","habitat","states","countryCode","origin","taxonomicStatus","nomenclaturalStatus","vernacularName","taxonRank","id"
"46774","Cerradomys vivoi",NA,"Cerradomys vivoi Percequillo, Hingst-Zaher & Bonvicino, 2008",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Cerradomys","free_living_individual","terrestrial","BA;MG;SE","BR","native","accepted",NA,"Vivo's Cerradomys, Rato-de-Vivo","species",58210
"46800","Marmosops incanus",NA,"Marmosops (Marmosops) incanus (Lund, 1840)",NA,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Marmosops","free_living_individual","arboreal;terrestrial","BA;ES;MG;PR;RJ;SE;SP","BR","native","accepted",NA,"cuica, guaiquica, catita, Gray Slender Opossum","species",58245
"46878","Oxymycterus quaestor",NA,"Oxymycterus quaestor Thomas, 1903",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Oxymycterus","free_living_individual","terrestrial","PR;RJ;RS;SC;SP","AR;BR;PY","native","accepted",NA,"Rato-focinhudo-ruivo, Rato-quati, Quaestor hocicudo","species",58339
"46945","Thamnodynastes longicaudus",NA,"Thamnodynastes longicaudus Franco, Ferreira, Marques & Sazima, 2003",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Thamnodynastes","free_living_individual","terrestrial","ES;RJ;SP","BR","native","accepted",NA,NA,"species",58422
"46982","Tapirus terrestris",NA,"Tapirus terrestris (Linnaeus, 1758)",NA,"Animalia","Chordata","Mammalia","Perissodactyla","Tapiriidae","Tapirus","free_living_individual","terrestrial","AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO","AR;BO;BR;CO;EC;GF;GY;PY;SR;VE","native","accepted",NA,"anta, tapir","species",58471
"47026","Aplastodiscus cochranae",NA,"Aplastodiscus cochranae (Mertens, 1952)",NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Aplastodiscus",NA,NA,"SC","BR","native","accepted",NA,NA,"species",58525
"47084","Monodelphis kunsi",NA,"Monodelphis (Mygalodelphys) kunsi Pine, 1975",NA,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Monodelphis","free_living_individual","terrestrial","AC;DF;GO;MG;MS;MT;RO;SP;TO","AR;BO;BR;PY","native","accepted",NA,"catita, Pygmy Short-tailed Opossum","species",58598
"47144","Amphisbaena hogei",NA,"Amphisbaena hogei Vanzolini, 1950",NA,"Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Amphisbaena","free_living_individual","fossorial","RJ;SC;SP","BR","native","accepted",NA,"Cobra-de-duas-cabecas, cobra-cega","species",58674
"47156","Gastrotheca albolineata",NA,"Gastrotheca albolineata (Lutz & Lutz, 1939)",NA,"Animalia","Chordata","Amphibia","Anura","Hemiphractidae","Gastrotheca","free_living_individual",NA,"ES;RJ;SP","BR","native","accepted",NA,NA,"species",58688
"47157","Dasypus septemcinctus",NA,"Dasypus (Muletia) septemcinctus Linnaeus, 1758",NA,"Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus","free_living_individual","fossorial;terrestrial","BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PE;PI;PR;RJ;RO;RS;SC;SP;TO","AR;BO;BR;PY;UY","native","accepted",NA,"Tatu-mulita, Tatu-capa-preta, Tatui, Mulita, Tatu-mirim, Tatu-mula, Muleta, Tatu-china, Tatuzinho, Tatuira","species",58689
