"species","class","order","family","source"
"Phacellodomus rufifrons","Aves","Passeriformes","Furnariidae","faunabr"
"Phaeomyias murina","Aves","Passeriformes","Tyrannidae","faunabr"
"Phaethon aethereus","Aves","Phaethontiformes","Phaethontidae","faunabr"
"Phaethon lepturus","Aves","Phaethontiformes","Phaethontidae","faunabr"
"Phaethornis eurynome","Aves","Apodiformes","Trochilidae","faunabr"
"Phaethornis margarettae","Aves","Apodiformes","Trochilidae","faunabr"
"Phaethornis ruber","Aves","Apodiformes","Trochilidae","faunabr"
"Phaethornis superciliosus","Aves","Apodiformes","Trochilidae","faunabr"
"Phaetusa simplex","Aves","Charadriiformes","Sternidae","faunabr"
"Pheugopedius coraya","Aves","Passeriformes","Troglodytidae","faunabr"
"Pheugopedius genibarbis","Aves","Passeriformes","Troglodytidae","faunabr"
"Philohydor lictor","Aves","Passeriformes","Tyrannidae","faunabr"
"Philydor erythrocercum","Aves","Passeriformes","Furnariidae","faunabr"
"Phimosus infuscatus","Aves","Pelecaniformes","Threskiornithidae","faunabr"
"Phleocryptes melanops","Aves","Passeriformes","Furnariidae","faunabr"
"Phyllomyias fasciatus","Aves","Passeriformes","Tyrannidae","faunabr"
"Phylloscartes ventralis","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Phyllostomus hastatus","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Piaya cayana","Aves","Cuculiformes","Cuculidae","faunabr"
"Piculus flavigula","Aves","Piciformes","Picidae","faunabr"
"Picumnus albosquamatus","Aves","Piciformes","Picidae","faunabr"
"Picumnus cirratus","Aves","Piciformes","Picidae","faunabr"
"Pionites leucogaster","Aves","Psittaciformes","Psittacidae","faunabr"
"Pionus maximiliani","Aves","Psittaciformes","Psittacidae","faunabr"
"Pipra aureola","Aves","Passeriformes","Pipridae","faunabr"
"Pipra fasciicauda","Aves","Passeriformes","Pipridae","faunabr"
"Pipraeidea melanonota","Aves","Passeriformes","Thraupidae","faunabr"
"Piprites chloris","Aves","Passeriformes","Pipritidae","faunabr"
"Piranga flava","Aves","Passeriformes","Cardinalidae","faunabr"
"Pitangus sulphuratus","Aves","Passeriformes","Tyrannidae","faunabr"
